N°;Fecha Hora Inicio;Fecha Hora Termino;tfs;Modos de falla;Modos de falla;;;
148;22-06-2023 2:50;22-06-2023 3:30;0:40;  Operaciones;;;;
149;22-06-2023 0:35;22-06-2023 1:20;0:45;    Electrocontrol;;;;
150;21-06-2023 22:10;21-06-2023 22:50;0:40;    Electrocontrol;;;;
151;21-06-2023 20:55;21-06-2023 22:10;1:15;  Operaciones;;;;
152;21-06-2023 20:40;21-06-2023 20:50;0:10;  Operaciones;;;;
153;21-06-2023 20:15;21-06-2023 20:40;0:25;    Electrocontrol;;;;
154;21-06-2023 18:45;21-06-2023 19:00;0:15;  Operaciones;;;;
155;21-06-2023 17:30;21-06-2023 18:30;1:00;  Operaciones;;;;
156;21-06-2023 17:00;21-06-2023 17:30;0:30;  Operaciones;;;;
157;21-06-2023 14:50;21-06-2023 15:10;0:20;  Operaciones;;;;
158;21-06-2023 12:30;21-06-2023 12:50;0:20;  Operaciones;;;;
159;21-06-2023 11:30;21-06-2023 12:10;0:40;  Operaciones;;;;
160;21-06-2023 9:00;21-06-2023 10:00;1:00;  Operaciones;;;;
161;21-06-2023 8:20;21-06-2023 8:20;0:00;  Operaciones;;;;
162;21-06-2023 5:30;21-06-2023 6:00;0:30;  Operaciones;;;;
163;21-06-2023 1:30;21-06-2023 2:30;1:00;  Operaciones;;;;
164;20-06-2023 18:45;20-06-2023 22:50;4:05;    Mecánica;;;;
165;20-06-2023 17:30;20-06-2023 18:45;1:15;  Operaciones;;;;
166;20-06-2023 16:00;20-06-2023 16:25;0:25;    Electrocontrol;;;;
167;20-06-2023 13:10;20-06-2023 15:59;2:49;  Operaciones;;;;
168;20-06-2023 12:55;20-06-2023 13:10;0:15;  Operaciones;;;;
169;20-06-2023 11:30;20-06-2023 12:30;1:00;  Operaciones;;;;
170;20-06-2023 11:00;20-06-2023 11:10;0:10;  Operaciones;;;;
171;20-06-2023 9:40;20-06-2023 10:10;0:30;    Mecánica;;;;
172;20-06-2023 9:15;20-06-2023 9:40;0:25;    Electrocontrol;;;;
173;20-06-2023 8:00;20-06-2023 8:30;0:30;  Operaciones;;;;
174;20-06-2023 5:20;20-06-2023 6:20;1:00;  Operaciones;;;;
175;20-06-2023 4:00;20-06-2023 4:30;0:30;  Operaciones;;;;
176;20-06-2023 2:00;20-06-2023 2:20;0:20;  Operaciones;;;;
177;20-06-2023 0:00;20-06-2023 0:25;0:25;    Electrocontrol;;;;
178;19-06-2023 23:00;19-06-2023 23:59;0:59;    Mecánica;;;;
179;19-06-2023 22:00;19-06-2023 23:00;1:00;  Operaciones;;;;
180;19-06-2023 18:30;19-06-2023 18:55;0:25;  Operaciones;;;;
181;19-06-2023 17:20;19-06-2023 17:45;0:25;  Operaciones;;;;
182;19-06-2023 14:30;19-06-2023 15:00;0:30;  Operaciones;;;;
183;19-06-2023 13:30;19-06-2023 13:50;0:20;    Mecánica;;;;
184;19-06-2023 13:30;19-06-2023 14:30;1:00;  Operaciones;;;;
185;19-06-2023 11:40;19-06-2023 12:00;0:20;  Operaciones;;;;
186;19-06-2023 11:10;19-06-2023 11:30;0:20;  Operaciones;;;;
187;19-06-2023 6:40;19-06-2023 7:10;0:30;  Operaciones;;;;
188;19-06-2023 3:40;19-06-2023 4:40;1:00;  Operaciones;;;;
189;19-06-2023 3:10;19-06-2023 3:40;0:30;  Operaciones;;;;
190;19-06-2023 1:10;19-06-2023 1:30;0:20;  Operaciones;;;;
191;19-06-2023 0:00;19-06-2023 0:25;0:25;    Electrocontrol;;;;
192;18-06-2023 21:30;18-06-2023 21:45;0:15;    Electrocontrol;;;;
193;18-06-2023 20:50;18-06-2023 21:20;0:30;  Operaciones;;;;
194;18-06-2023 20:00;18-06-2023 20:20;0:20;  Operaciones;;;;
195;18-06-2023 18:40;18-06-2023 18:50;0:10;  Operaciones;;;;
196;18-06-2023 14:00;18-06-2023 15:00;1:00;  Operaciones;;;;
197;18-06-2023 12:30;18-06-2023 12:45;0:15;  Operaciones;;;;
198;18-06-2023 11:45;18-06-2023 12:15;0:30;  Operaciones;;;;
199;18-06-2023 10:30;18-06-2023 11:10;0:40;  Operaciones;;;;
200;18-06-2023 9:00;18-06-2023 9:15;0:15;  Operaciones;;;;
201;18-06-2023 4:40;18-06-2023 5:00;0:20;  Operaciones;;;;
202;18-06-2023 3:45;18-06-2023 4:15;0:30;  Operaciones;;;;
203;18-06-2023 2:45;18-06-2023 3:45;1:00;  Operaciones;;;;
204;17-06-2023 17:40;17-06-2023 18:40;1:00;  Operaciones;;;;
205;17-06-2023 13:20;17-06-2023 13:35;0:15;    Electrocontrol;;;;
206;17-06-2023 9:00;17-06-2023 13:20;4:20;    Mecánica;;;;
207;17-06-2023 8:35;17-06-2023 9:00;0:25;  Operaciones;;;;
208;17-06-2023 8:20;17-06-2023 8:35;0:15;  Operaciones;;;;
209;17-06-2023 6:30;17-06-2023 7:00;0:30;  Operaciones;;;;
210;17-06-2023 4:00;17-06-2023 4:30;0:30;  Operaciones;;;;
211;17-06-2023 3:00;17-06-2023 4:00;1:00;  Operaciones;;;;
212;17-06-2023 0:10;17-06-2023 0:30;0:20;  Operaciones;;;;
213;16-06-2023 21:40;16-06-2023 22:00;0:20;  Operaciones;;;;
214;16-06-2023 18:00;16-06-2023 21:30;3:30;  Operaciones;;;;
215;16-06-2023 14:50;16-06-2023 15:50;1:00;  Operaciones;;;;
216;16-06-2023 11:30;16-06-2023 12:00;0:30;  Operaciones;;;;
217;16-06-2023 10:50;16-06-2023 11:30;0:40;  Operaciones;;;;
218;16-06-2023 0:00;16-06-2023 7:59;7:59;  Operaciones;;;;
219;15-06-2023 21:30;15-06-2023 22:00;0:30;  Operaciones;;;;
220;15-06-2023 16:00;15-06-2023 19:15;3:15;    Mecánica;;;;
221;15-06-2023 8:00;15-06-2023 15:59;7:59;    Mecánica;;;;
222;15-06-2023 5:40;15-06-2023 7:59;2:19;  Operaciones;;;;
223;15-06-2023 4:45;15-06-2023 5:00;0:15;  Operaciones;;;;
224;15-06-2023 2:40;15-06-2023 3:10;0:30;  Operaciones;;;;
225;15-06-2023 1:00;15-06-2023 2:20;1:20;  Operaciones;;;;
226;15-06-2023 0:00;15-06-2023 0:30;0:30;    Mecánica;;;;
227;14-06-2023 22:20;14-06-2023 23:20;1:00;  Operaciones;;;;
228;14-06-2023 18:00;14-06-2023 20:30;2:30;  Operaciones;;;;
229;14-06-2023 16:00;14-06-2023 17:00;1:00;  Operaciones;;;;
230;14-06-2023 15:40;14-06-2023 15:59;0:19;  Operaciones;;;;
231;14-06-2023 13:25;14-06-2023 14:25;1:00;  Operaciones;;;;
232;14-06-2023 11:55;14-06-2023 12:55;1:00;  Operaciones;;;;
233;14-06-2023 9:15;14-06-2023 11:55;2:40;  Operaciones;;;;
234;14-06-2023 6:50;14-06-2023 7:20;0:30;  Operaciones;;;;
235;14-06-2023 5:40;14-06-2023 6:00;0:20;  Operaciones;;;;
236;14-06-2023 4:00;14-06-2023 4:20;0:20;  Operaciones;;;;
237;14-06-2023 3:10;14-06-2023 3:40;0:30;  Operaciones;;;;
238;13-06-2023 21:50;13-06-2023 22:50;1:00;  Operaciones;;;;
239;13-06-2023 21:30;13-06-2023 21:50;0:20;  Operaciones;;;;
240;13-06-2023 18:30;13-06-2023 19:40;1:10;  Operaciones;;;;
241;13-06-2023 18:00;13-06-2023 18:20;0:20;  Operaciones;;;;
242;13-06-2023 12:30;13-06-2023 13:30;1:00;  Operaciones;;;;
243;13-06-2023 11:15;13-06-2023 11:30;0:15;  Operaciones;;;;
244;13-06-2023 8:40;13-06-2023 9:00;0:20;  Operaciones;;;;
245;13-06-2023 6:20;13-06-2023 6:35;0:15;  Operaciones;;;;
246;13-06-2023 4:30;13-06-2023 4:50;0:20;  Operaciones;;;;
247;13-06-2023 3:30;13-06-2023 4:30;1:00;  Operaciones;;;;
248;13-06-2023 0:00;13-06-2023 1:05;1:05;  Operaciones;;;;
249;12-06-2023 23:00;12-06-2023 23:20;0:20;  Operaciones;;;;
250;12-06-2023 18:00;12-06-2023 19:00;1:00;  Operaciones;;;;
251;12-06-2023 17:40;12-06-2023 18:00;0:20;  Operaciones;;;;
252;12-06-2023 16:00;12-06-2023 16:30;0:30;    Electrocontrol;;;;
253;12-06-2023 15:00;12-06-2023 15:30;0:30;  Operaciones;;;;
254;12-06-2023 10:00;12-06-2023 11:00;1:00;  Operaciones;;;;
255;12-06-2023 6:25;12-06-2023 6:45;0:20;  Operaciones;;;;
256;12-06-2023 5:40;12-06-2023 6:00;0:20;  Operaciones;;;;
257;12-06-2023 5:10;12-06-2023 5:30;0:20;  Operaciones;;;;
258;12-06-2023 4:45;12-06-2023 5:00;0:15;  Operaciones;;;;
259;12-06-2023 4:35;12-06-2023 4:45;0:10;    Electrocontrol;;;;
260;12-06-2023 2:00;12-06-2023 2:20;0:20;  Operaciones;;;;
261;11-06-2023 23:00;11-06-2023 23:20;0:20;  Operaciones;;;;
262;11-06-2023 21:35;11-06-2023 22:35;1:00;  Operaciones;;;;
263;11-06-2023 20:00;11-06-2023 20:20;0:20;  Operaciones;;;;
264;11-06-2023 18:00;11-06-2023 18:20;0:20;  Operaciones;;;;
265;11-06-2023 17:35;11-06-2023 17:50;0:15;  Operaciones;;;;
266;11-06-2023 16:20;11-06-2023 16:45;0:25;  Operaciones;;;;
267;11-06-2023 16:16;11-06-2023 16:16;0:00;  Operaciones;;;;
268;11-06-2023 14:00;11-06-2023 14:20;0:20;  Operaciones;;;;
269;11-06-2023 12:10;11-06-2023 13:00;0:50;  Operaciones;;;;
270;11-06-2023 9:50;11-06-2023 10:20;0:30;  Operaciones;;;;
271;11-06-2023 8:29;11-06-2023 8:29;0:00;  Operaciones;;;;
272;11-06-2023 7:00;11-06-2023 7:15;0:15;  Operaciones;;;;
273;11-06-2023 6:00;11-06-2023 6:30;0:30;  Operaciones;;;;
274;11-06-2023 5:30;11-06-2023 6:00;0:30;  Operaciones;;;;
275;11-06-2023 4:30;11-06-2023 4:40;0:10;  Operaciones;;;;
276;11-06-2023 2:50;11-06-2023 3:10;0:20;  Operaciones;;;;
277;10-06-2023 22:50;10-06-2023 23:50;1:00;  Operaciones;;;;
278;10-06-2023 21:00;10-06-2023 21:20;0:20;  Operaciones;;;;
279;10-06-2023 20:00;10-06-2023 20:15;0:15;  Operaciones;;;;
280;10-06-2023 18:40;10-06-2023 19:00;0:20;  Operaciones;;;;
281;10-06-2023 16:40;10-06-2023 16:50;0:10;  Operaciones;;;;
